"","city","stateProvince","normTitleCategory","n","medianSalary","cityMeanClick","cityMeanLocalClick","localRatio","lng","lat","SalaryInfo","ClickInfo","LocalClickInfo"
"1","Memphis","TN","meddr",22,178900,9.27044160421677,2.4294428959113,0.262063340629451,-89.9773,35.1047,"Annual estimated Salary of  meddr  in  Memphis : $ 178900","Daily estimated Click per job of  meddr  in  Memphis :  9.27044160421677 clicks","Daily estimated Local Click ratio per job in  Memphis : $ 0.262063340629451"
"2","New York","NY","meddr",117,173800,12.1704091255405,2.55670621843656,0.210075618006228,-73.9249,40.6943,"Annual estimated Salary of  meddr  in  New York : $ 173800","Daily estimated Click per job of  meddr  in  New York :  12.1704091255405 clicks","Daily estimated Local Click ratio per job in  New York : $ 0.210075618006228"
"3","Orlando","FL","meddr",32,173200,10.580625524141,2.29012611461485,0.216445247909931,-81.3448,28.4801,"Annual estimated Salary of  meddr  in  Orlando : $ 173200","Daily estimated Click per job of  meddr  in  Orlando :  10.580625524141 clicks","Daily estimated Local Click ratio per job in  Orlando : $ 0.216445247909931"
"4","Minneapolis","MN","meddr",21,172400,10.0649519487289,2.86564216305141,0.284714937304128,-93.2679,44.9635,"Annual estimated Salary of  meddr  in  Minneapolis : $ 172400","Daily estimated Click per job of  meddr  in  Minneapolis :  10.0649519487289 clicks","Daily estimated Local Click ratio per job in  Minneapolis : $ 0.284714937304128"
"5","Bronx","NY","meddr",22,169150,11.1115819523337,3.62940332311274,0.326632457797828,-73.8662,40.8501,"Annual estimated Salary of  meddr  in  Bronx : $ 169150","Daily estimated Click per job of  meddr  in  Bronx :  11.1115819523337 clicks","Daily estimated Local Click ratio per job in  Bronx : $ 0.326632457797828"
"6","Houston","TX","meddr",46,164800,12.2953086915118,4.42432708662766,0.359838634200542,-95.3936,29.7871,"Annual estimated Salary of  meddr  in  Houston : $ 164800","Daily estimated Click per job of  meddr  in  Houston :  12.2953086915118 clicks","Daily estimated Local Click ratio per job in  Houston : $ 0.359838634200542"
"7","Indianapolis","IN","meddr",22,163900,8.38889679896681,2.87001426663919,0.342120583363556,-86.1458,39.7771,"Annual estimated Salary of  meddr  in  Indianapolis : $ 163900","Daily estimated Click per job of  meddr  in  Indianapolis :  8.38889679896681 clicks","Daily estimated Local Click ratio per job in  Indianapolis : $ 0.342120583363556"
"8","Charlotte","NC","meddr",40,158000,10.3382909118413,2.29079651137034,0.221583676731953,-80.8308,35.208,"Annual estimated Salary of  meddr  in  Charlotte : $ 158000","Daily estimated Click per job of  meddr  in  Charlotte :  10.3382909118413 clicks","Daily estimated Local Click ratio per job in  Charlotte : $ 0.221583676731953"
"9","Washington","DC","meddr",41,157300,13.7730037213308,2.09310481500557,0.151971556630301,-77.0163,38.9047,"Annual estimated Salary of  meddr  in  Washington : $ 157300","Daily estimated Click per job of  meddr  in  Washington :  13.7730037213308 clicks","Daily estimated Local Click ratio per job in  Washington : $ 0.151971556630301"
"10","Tampa","FL","meddr",23,156400,15.7987481549786,3.96948927780604,0.251253405577907,-82.4454,27.9937,"Annual estimated Salary of  meddr  in  Tampa : $ 156400","Daily estimated Click per job of  meddr  in  Tampa :  15.7987481549786 clicks","Daily estimated Local Click ratio per job in  Tampa : $ 0.251253405577907"
