"","city","stateProvince","n","medianSalary","cityMeanClick","cityMeanLocalClick","localRatio","lng","lat","SalaryInfo","ClickInfo","LocalClickInfo"
"1","Santa Clara Valley","CA",74,103950,14.048540784067,0.837205482377315,0.0595937681532604,NA,NA,"Annual estimated Salary in  Santa Clara Valley : $ 103950","Daily estimated Click per job in  Santa Clara Valley :  14.048540784067 clicks","Daily estimated Local Click ratio per job in  Santa Clara Valley : $ 0.0595937681532604"
"2","Annapolis Junction","MD",137,93900,13.9590425982942,0.92250773817425,0.0660867485487136,NA,NA,"Annual estimated Salary in  Annapolis Junction : $ 93900","Daily estimated Click per job in  Annapolis Junction :  13.9590425982942 clicks","Daily estimated Local Click ratio per job in  Annapolis Junction : $ 0.0660867485487136"
"3","Tinker AFB","OK",60,88200,19.9669105659599,1.45088262480868,0.0726643523551503,NA,NA,"Annual estimated Salary in  Tinker AFB : $ 88200","Daily estimated Click per job in  Tinker AFB :  19.9669105659599 clicks","Daily estimated Local Click ratio per job in  Tinker AFB : $ 0.0726643523551503"
"4","Basking Ridge","NJ",92,86400,23.5980697110939,1.35195506038178,0.0572909173052492,-74.5493,40.7062,"Annual estimated Salary in  Basking Ridge : $ 86400","Daily estimated Click per job in  Basking Ridge :  23.5980697110939 clicks","Daily estimated Local Click ratio per job in  Basking Ridge : $ 0.0572909173052492"
"5","Mountain View","CA",418,84850,16.9692740562569,1.3924049157267,0.082054477469724,-122.0796,37.4001,"Annual estimated Salary in  Mountain View : $ 84850","Daily estimated Click per job in  Mountain View :  16.9692740562569 clicks","Daily estimated Local Click ratio per job in  Mountain View : $ 0.082054477469724"
"6","Shalimar","FL",83,81900,17.9383111599473,1.64247083899812,0.0915621779750057,-86.583,30.4433,"Annual estimated Salary in  Shalimar : $ 81900","Daily estimated Click per job in  Shalimar :  17.9383111599473 clicks","Daily estimated Local Click ratio per job in  Shalimar : $ 0.0915621779750057"
"7","Fort Eustis","VA",97,80900,20.7039313112519,1.4064114355677,0.06792968033097,NA,NA,"Annual estimated Salary in  Fort Eustis : $ 80900","Daily estimated Click per job in  Fort Eustis :  20.7039313112519 clicks","Daily estimated Local Click ratio per job in  Fort Eustis : $ 0.06792968033097"
"8","Remote","UNKNOWN",208,80500,84.3783297799437,1.31020024927732,0.0155276864651657,NA,NA,"Annual estimated Salary in  Remote : $ 80500","Daily estimated Click per job in  Remote :  84.3783297799437 clicks","Daily estimated Local Click ratio per job in  Remote : $ 0.0155276864651657"
"9","Reston","VA",473,80300,17.3067638599718,1.50590764109135,0.0870126647174236,-77.346,38.9497,"Annual estimated Salary in  Reston : $ 80300","Daily estimated Click per job in  Reston :  17.3067638599718 clicks","Daily estimated Local Click ratio per job in  Reston : $ 0.0870126647174236"
"10","Sunnyvale","CA",515,80000,15.5296028544627,1.69530741121649,0.109166179399708,-122.0261,37.3846,"Annual estimated Salary in  Sunnyvale : $ 80000","Daily estimated Click per job in  Sunnyvale :  15.5296028544627 clicks","Daily estimated Local Click ratio per job in  Sunnyvale : $ 0.109166179399708"
"11","McLean","VA",462,78950,16.9035887051499,1.31097700209533,0.077556134674285,-77.1943,38.9436,"Annual estimated Salary in  McLean : $ 78950","Daily estimated Click per job in  McLean :  16.9035887051499 clicks","Daily estimated Local Click ratio per job in  McLean : $ 0.077556134674285"
"12","Township of Warren","NJ",61,78600,22.6781748084555,1.06462256442779,0.0469448080994087,NA,NA,"Annual estimated Salary in  Township of Warren : $ 78600","Daily estimated Click per job in  Township of Warren :  22.6781748084555 clicks","Daily estimated Local Click ratio per job in  Township of Warren : $ 0.0469448080994087"
"13","Herndon","VA",390,78400,19.0803681787405,1.96698879171092,0.103089666472084,-77.3867,38.9699,"Annual estimated Salary in  Herndon : $ 78400","Daily estimated Click per job in  Herndon :  19.0803681787405 clicks","Daily estimated Local Click ratio per job in  Herndon : $ 0.103089666472084"
"14","Jersey City","NJ",513,78400,22.5544062592097,4.19267679795553,0.18589169449954,-74.0683,40.7161,"Annual estimated Salary in  Jersey City : $ 78400","Daily estimated Click per job in  Jersey City :  22.5544062592097 clicks","Daily estimated Local Click ratio per job in  Jersey City : $ 0.18589169449954"
"15","San Francisco Bay Area","CA",216,76950,22.0801139235367,1.0945123427886,0.0495700496192589,NA,NA,"Annual estimated Salary in  San Francisco Bay Area : $ 76950","Daily estimated Click per job in  San Francisco Bay Area :  22.0801139235367 clicks","Daily estimated Local Click ratio per job in  San Francisco Bay Area : $ 0.0495700496192589"
"16","Foster City","CA",131,76900,16.4268001156067,1.13369913652386,0.0690152146824238,-122.2659,37.5553,"Annual estimated Salary in  Foster City : $ 76900","Daily estimated Click per job in  Foster City :  16.4268001156067 clicks","Daily estimated Local Click ratio per job in  Foster City : $ 0.0690152146824238"
"17","Research Triangle Park","NC",73,76800,34.0327144887404,1.30963572685649,0.0384816711370401,NA,NA,"Annual estimated Salary in  Research Triangle Park : $ 76800","Daily estimated Click per job in  Research Triangle Park :  34.0327144887404 clicks","Daily estimated Local Click ratio per job in  Research Triangle Park : $ 0.0384816711370401"
"18","Fort Meade","MD",167,76300,14.9381759565847,0.922260146844297,0.0617384712514225,NA,NA,"Annual estimated Salary in  Fort Meade : $ 76300","Daily estimated Click per job in  Fort Meade :  14.9381759565847 clicks","Daily estimated Local Click ratio per job in  Fort Meade : $ 0.0617384712514225"
"19","Redmond","WA",417,74700,17.948061138914,1.85501260255057,0.103354484263965,-122.1176,47.6776,"Annual estimated Salary in  Redmond : $ 74700","Daily estimated Click per job in  Redmond :  17.948061138914 clicks","Daily estimated Local Click ratio per job in  Redmond : $ 0.103354484263965"
"20","Fort Belvoir","VA",125,74000,20.653508349082,1.23348637850766,0.0597228498741952,NA,NA,"Annual estimated Salary in  Fort Belvoir : $ 74000","Daily estimated Click per job in  Fort Belvoir :  20.653508349082 clicks","Daily estimated Local Click ratio per job in  Fort Belvoir : $ 0.0597228498741952"
"21","Parsippany","NJ",212,73650,21.1416203969885,1.54118938865235,0.0728983568767457,-74.426,40.8579,"Annual estimated Salary in  Parsippany : $ 73650","Daily estimated Click per job in  Parsippany :  21.1416203969885 clicks","Daily estimated Local Click ratio per job in  Parsippany : $ 0.0728983568767457"
"22","San Francisco","CA",2956,73300,17.6557517698011,3.50908876856514,0.198750459018527,-122.4429,37.7561,"Annual estimated Salary in  San Francisco : $ 73300","Daily estimated Click per job in  San Francisco :  17.6557517698011 clicks","Daily estimated Local Click ratio per job in  San Francisco : $ 0.198750459018527"
"23","Summit","NJ",63,71200,20.7140009273489,1.41948287327618,0.068527701541329,-74.3648,40.7154,"Annual estimated Salary in  Summit : $ 71200","Daily estimated Click per job in  Summit :  20.7140009273489 clicks","Daily estimated Local Click ratio per job in  Summit : $ 0.068527701541329"
"24","Palo Alto","CA",423,70700,16.4829395992064,1.22206527507897,0.0741412214565057,-122.1465,37.3917,"Annual estimated Salary in  Palo Alto : $ 70700","Daily estimated Click per job in  Palo Alto :  16.4829395992064 clicks","Daily estimated Local Click ratio per job in  Palo Alto : $ 0.0741412214565057"
"25","El Segundo","CA",211,70400,17.7350200959891,1.11543957920555,0.0628947457160094,-118.4021,33.9169,"Annual estimated Salary in  El Segundo : $ 70400","Daily estimated Click per job in  El Segundo :  17.7350200959891 clicks","Daily estimated Local Click ratio per job in  El Segundo : $ 0.0628947457160094"
"26","Santa Clara","CA",530,70350,17.9264285779343,1.56761060539518,0.0874468998986643,-121.9679,37.3646,"Annual estimated Salary in  Santa Clara : $ 70350","Daily estimated Click per job in  Santa Clara :  17.9264285779343 clicks","Daily estimated Local Click ratio per job in  Santa Clara : $ 0.0874468998986643"
"27","Deerfield","IL",103,69100,19.7175286745772,1.25699366270287,0.0637500613514298,-87.8515,42.1655,"Annual estimated Salary in  Deerfield : $ 69100","Daily estimated Click per job in  Deerfield :  19.7175286745772 clicks","Daily estimated Local Click ratio per job in  Deerfield : $ 0.0637500613514298"
"28","Bedford","MA",67,68400,15.5683815766017,1.05295685690211,0.0676343171395948,NA,NA,"Annual estimated Salary in  Bedford : $ 68400","Daily estimated Click per job in  Bedford :  15.5683815766017 clicks","Daily estimated Local Click ratio per job in  Bedford : $ 0.0676343171395948"
"29","New York","NY",7033,68400,27.5164301529614,4.54030229011339,0.165003318558194,-73.9249,40.6943,"Annual estimated Salary in  New York : $ 68400","Daily estimated Click per job in  New York :  27.5164301529614 clicks","Daily estimated Local Click ratio per job in  New York : $ 0.165003318558194"
"30","Menlo Park","CA",192,67450,19.0389237259877,1.18311120499615,0.0621417062237203,-122.1662,37.4689,"Annual estimated Salary in  Menlo Park : $ 67450","Daily estimated Click per job in  Menlo Park :  19.0389237259877 clicks","Daily estimated Local Click ratio per job in  Menlo Park : $ 0.0621417062237203"
"31","Redwood City","CA",286,67100,16.249235416315,1.51312583856124,0.0931198176279718,-122.2251,37.5026,"Annual estimated Salary in  Redwood City : $ 67100","Daily estimated Click per job in  Redwood City :  16.249235416315 clicks","Daily estimated Local Click ratio per job in  Redwood City : $ 0.0931198176279718"
"32","Chantilly","VA",272,66800,17.2378715253475,1.40740464413457,0.0816460803797643,-77.4453,38.8868,"Annual estimated Salary in  Chantilly : $ 66800","Daily estimated Click per job in  Chantilly :  17.2378715253475 clicks","Daily estimated Local Click ratio per job in  Chantilly : $ 0.0816460803797643"
"33","Malvern","PA",135,65900,23.0739631128086,1.48898128126439,0.0645307992382912,-75.5146,40.0329,"Annual estimated Salary in  Malvern : $ 65900","Daily estimated Click per job in  Malvern :  23.0739631128086 clicks","Daily estimated Local Click ratio per job in  Malvern : $ 0.0645307992382912"
"34","South San Francisco","CA",142,65900,16.0616408851503,1.39533975910534,0.0868740478686325,-122.4197,37.6537,"Annual estimated Salary in  South San Francisco : $ 65900","Daily estimated Click per job in  South San Francisco :  16.0616408851503 clicks","Daily estimated Local Click ratio per job in  South San Francisco : $ 0.0868740478686325"
"35","Cambridge","MA",542,65750,19.9953737650812,1.83733872563191,0.0918881910995104,-71.1184,42.3758,"Annual estimated Salary in  Cambridge : $ 65750","Daily estimated Click per job in  Cambridge :  19.9953737650812 clicks","Daily estimated Local Click ratio per job in  Cambridge : $ 0.0918881910995104"
"36","Lexington","MA",101,65600,15.6810073131182,1.30170943578004,0.0830118505646682,-71.2307,42.4456,"Annual estimated Salary in  Lexington : $ 65600","Daily estimated Click per job in  Lexington :  15.6810073131182 clicks","Daily estimated Local Click ratio per job in  Lexington : $ 0.0830118505646682"
"37","Springfield","VA",256,65450,19.2621764842796,1.77301761028858,0.0920465873488175,-77.1839,38.7809,"Annual estimated Salary in  Springfield : $ 65450","Daily estimated Click per job in  Springfield :  19.2621764842796 clicks","Daily estimated Local Click ratio per job in  Springfield : $ 0.0920465873488175"
"38","Arlington","VA",700,65100,19.6678198162118,2.08332641672307,0.105925640777216,-77.1011,38.8786,"Annual estimated Salary in  Arlington : $ 65100","Daily estimated Click per job in  Arlington :  19.6678198162118 clicks","Daily estimated Local Click ratio per job in  Arlington : $ 0.105925640777216"
"39","Washington","DC",2630,65100,24.0442758976391,4.57412732619868,0.190237682584894,-77.0163,38.9047,"Annual estimated Salary in  Washington : $ 65100","Daily estimated Click per job in  Washington :  24.0442758976391 clicks","Daily estimated Local Click ratio per job in  Washington : $ 0.190237682584894"
